,layer,sample_id,psbulk_n_cells,psbulk_counts,condition,layer_c
151672_L3,L3,151672,1208.0,4249748.0,spatial_libd_human,3
151673_L3,L3,151673,932.0,5374415.0,spatial_libd_human,3
151674_L3,L3,151674,892.0,6502280.0,spatial_libd_human,3
151675_L3,L3,151675,570.0,2911275.0,spatial_libd_human,3
151676_L3,L3,151676,657.0,3351904.0,spatial_libd_human,3
human_759_L3,L3,human_759,1030.0,5409067.0,human,3
human_j12_L3,L3,human_j12,812.0,9103719.0,human,3
human_j3_L3,L3,human_j3,159.0,3268756.0,human,3
human_j4_L3,L3,human_j4,699.0,9859047.0,human,3
human_j6_L3,L3,human_j6,338.0,2810804.0,human,3
151507_L4,L4,151507,358.0,1035133.0,spatial_libd_human,4
151508_L4,L4,151508,354.0,900916.0,spatial_libd_human,4
151509_L4,L4,151509,359.0,971310.0,spatial_libd_human,4
151510_L4,L4,151510,310.0,803664.0,spatial_libd_human,4
151669_L4,L4,151669,322.0,1561526.0,spatial_libd_human,4
151670_L4,L4,151670,172.0,767435.0,spatial_libd_human,4
151671_L4,L4,151671,212.0,1071315.0,spatial_libd_human,4
151672_L4,L4,151672,243.0,1065705.0,spatial_libd_human,4
151673_L4,L4,151673,209.0,1059994.0,spatial_libd_human,4
151674_L4,L4,151674,239.0,1622822.0,spatial_libd_human,4
151675_L4,L4,151675,219.0,943251.0,spatial_libd_human,4
151676_L4,L4,151676,228.0,1063503.0,spatial_libd_human,4
human_759_L4,L4,human_759,442.0,2312956.0,human,4
human_j12_L4,L4,human_j12,308.0,3520496.0,human,4
human_j3_L4,L4,human_j3,235.0,4681564.0,human,4
human_j4_L4,L4,human_j4,509.0,6913980.0,human,4
human_j6_L4,L4,human_j6,326.0,2750070.0,human,4
151507_L5,L5,151507,659.0,1967820.0,spatial_libd_human,5
151508_L5,L5,151508,716.0,1822886.0,spatial_libd_human,5
151509_L5,L5,151509,355.0,772460.0,spatial_libd_human,5
151510_L5,L5,151510,301.0,858573.0,spatial_libd_human,5
151669_L5,L5,151669,490.0,2738036.0,spatial_libd_human,5
151670_L5,L5,151670,541.0,2781250.0,spatial_libd_human,5
151671_L5,L5,151671,681.0,3726266.0,spatial_libd_human,5
151672_L5,L5,151672,677.0,3153860.0,spatial_libd_human,5
151673_L5,L5,151673,657.0,3250222.0,spatial_libd_human,5
151674_L5,L5,151674,605.0,4005336.0,spatial_libd_human,5
151675_L5,L5,151675,685.0,2824141.0,spatial_libd_human,5
151676_L5,L5,151676,622.0,2743528.0,spatial_libd_human,5
human_759_L5,L5,human_759,373.0,1752562.0,human,5
human_j12_L5,L5,human_j12,294.0,2977349.0,human,5
human_j3_L5,L5,human_j3,223.0,4285980.0,human,5
human_j4_L5,L5,human_j4,442.0,4183222.0,human,5
human_j6_L5,L5,human_j6,570.0,5968325.0,human,5
151507_L6,L6,151507,474.0,1288297.0,spatial_libd_human,6
151508_L6,L6,151508,510.0,791933.0,spatial_libd_human,6
151509_L6,L6,151509,208.0,208142.0,spatial_libd_human,6
151510_L6,L6,151510,175.0,365082.0,spatial_libd_human,6
151669_L6,L6,151669,370.0,2026321.0,spatial_libd_human,6
151670_L6,L6,151670,286.0,1446807.0,spatial_libd_human,6
151671_L6,L6,151671,715.0,3137323.0,spatial_libd_human,6
151672_L6,L6,151672,839.0,3509646.0,spatial_libd_human,6
151673_L6,L6,151673,675.0,2371122.0,spatial_libd_human,6
151674_L6,L6,151674,597.0,2716110.0,spatial_libd_human,6
151675_L6,L6,151675,518.0,1312066.0,spatial_libd_human,6
151676_L6,L6,151676,601.0,1696219.0,spatial_libd_human,6
human_759_L6,L6,human_759,545.0,2162402.0,human,6
human_j12_L6,L6,human_j12,202.0,1480505.0,human,6
human_j3_L6,L6,human_j3,278.0,2413563.0,human,6
human_j4_L6,L6,human_j4,351.0,1613532.0,human,6
human_j6_L6,L6,human_j6,393.0,2666812.0,human,6
151507_WM,WM,151507,345.0,520863.0,spatial_libd_human,7
151508_WM,WM,151508,196.0,183824.0,spatial_libd_human,7
151509_WM,WM,151509,160.0,387496.0,spatial_libd_human,7
151510_WM,WM,151510,179.0,343386.0,spatial_libd_human,7
151669_WM,WM,151669,212.0,627010.0,spatial_libd_human,7
151670_WM,WM,151670,171.0,460739.0,spatial_libd_human,7
151671_WM,WM,151671,437.0,415390.0,spatial_libd_human,7
151672_WM,WM,151672,389.0,309208.0,spatial_libd_human,7
151673_WM,WM,151673,500.0,1705634.0,spatial_libd_human,7
151674_WM,WM,151674,609.0,2775275.0,spatial_libd_human,7
151675_WM,WM,151675,632.0,1650105.0,spatial_libd_human,7
151676_WM,WM,151676,519.0,1498058.0,spatial_libd_human,7
human_759_WM,WM,human_759,258.0,733032.0,human,7
human_j12_WM,WM,human_j12,1465.0,2327923.0,human,7
human_j3_WM,WM,human_j3,1389.0,2369699.0,human,7
human_j4_WM,WM,human_j4,705.0,1220788.0,human,7
human_j6_WM,WM,human_j6,736.0,1147121.0,human,7
